RowNumber,EventClass,TextData,ApplicationName,LoginName,ClientProcessID,SPID,StartTime,CPU,Reads,Writes,Duration,EndTime,DatabaseID,DatabaseName,Error,EventSequence,GroupID,HostName,LoginSid,RequestID,RowCounts,ServerName,SessionLoginName,TransactionID,XactSequence
32,12,"insert into CabRides.dbo.cab_rides values (0.44, 'Lyft', 1540000000000, 'North Station', 'Haymarket Square', 16.5, 1, 'e8bac1d1-6e83-4ebd-a0a9-bfcf9de1a86f', 'lyft_line', 'UberX')",Python,temp,9372,58,52:59.6,0,40,1,4021,52:59.6,7,Telecom,0,1999,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
33,12,select * from Weather.dbo.weather,Python,temp,9372,58,53:01.6,0,6,0,2020228,53:03.6,7,Telecom,2,2000,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
34,12,use Telecom select top 1000 * from telecom_users where InternetService='DSL',Python,temp,9372,58,53:03.6,0,29,0,2009503,53:05.6,7,Telecom,2,2001,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
35,12,delete top (1) from Telecom.dbo.telecom_users where InternetService='DSL',Python,temp,9372,58,53:05.6,0,23,0,1361,53:05.6,7,Telecom,0,2002,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
36,12,delete top (1) from Weather.dbo.weather where location='Fenway',Python,temp,9372,58,53:07.7,0,28,0,3811,53:07.7,7,Telecom,0,2003,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
37,12,delete top (1) from Telecom.dbo.telecom_users where InternetService='DSL',Python,temp,9372,58,53:09.7,0,24,0,816,53:09.7,7,Telecom,0,2004,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
38,12,select * from Telecom.dbo.telecom_users,Python,temp,9372,58,53:11.7,0,20,0,2020676,53:13.7,7,Telecom,2,2005,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
39,12,delete top (1) from Students.dbo.StudentsPerformance where gender='male',Python,temp,9372,58,53:13.7,0,26,0,3278,53:13.7,7,Telecom,0,2006,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
40,12,use CabRides select top 1000 * from cab_rides where name='Lyft',Python,temp,9372,58,53:15.7,15,107,0,2021123,53:17.7,5,CabRides,2,2007,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
41,12,"insert into Students.dbo.StudentsPerformance values ('female', 'group B', 'bachelors degree', 'standard', 'completed', 72, 80, 94)",Python,temp,9372,58,53:17.7,0,35,0,977,53:17.7,5,CabRides,0,2008,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
42,12,"insert into Weather.dbo.weather values (42.45, 'Fenway', 1, 1012.17, 0.1089, default, 0.96, 1.53)",Python,temp,9372,58,53:19.7,0,21,0,800,53:19.7,5,CabRides,0,2009,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
43,12,select * from Students.dbo.StudentsPerformance,Python,temp,9372,58,53:21.7,0,21,0,2000090,53:23.7,5,CabRides,2,2010,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
44,12,select * from Telecom.dbo.telecom_users,Python,temp,9372,58,53:23.7,0,20,0,2019883,53:25.8,5,CabRides,2,2011,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
45,12,delete top (1) from CabRides.dbo.cab_rides where name='Lyft',Python,temp,9372,58,53:25.8,0,85,0,1554,53:25.8,5,CabRides,0,2012,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
46,12,"insert into CabRides.dbo.cab_rides values (0.44, 'Lyft', 1540000000000, 'North Station', 'Haymarket Square', 16.5, 1, 'e8bac1d1-6e83-4ebd-a0a9-bfcf9de1a86f', 'lyft_line', 'UberX')",Python,temp,9372,58,53:27.8,0,40,1,4974,53:27.8,5,CabRides,0,2013,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
47,12,select * from Students.dbo.StudentsPerformance,Python,temp,9372,58,53:29.8,0,7,0,2020445,53:31.8,5,CabRides,2,2014,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
48,12,select * from Weather.dbo.weather,Python,temp,9372,58,53:31.8,0,20,0,2009325,53:33.8,5,CabRides,2,2015,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
49,12,select * from CabRides.dbo.cab_rides,Python,temp,9372,58,53:33.8,0,20,0,1999881,53:35.8,5,CabRides,2,2016,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
50,12,"insert into CabRides.dbo.cab_rides values (0.44, 'Lyft', 1540000000000, 'North Station', 'Haymarket Square', 16.5, 1, 'e8bac1d1-6e83-4ebd-a0a9-bfcf9de1a86f', 'lyft_line', 'UberX')",Python,temp,9372,58,53:35.8,0,2,1,221,53:35.8,5,CabRides,0,2017,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
51,12,"insert into CabRides.dbo.cab_rides values (0.44, 'Lyft', 1540000000000, 'North Station', 'Haymarket Square', 16.5, 1, 'e8bac1d1-6e83-4ebd-a0a9-bfcf9de1a86f', 'lyft_line', 'UberX')",Python,temp,9372,58,53:37.8,0,4,1,2369,53:37.8,5,CabRides,0,2018,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
52,12,delete top (1) from Weather.dbo.weather where location='Fenway',Python,temp,9372,58,53:39.8,0,32,1,4159,53:39.8,5,CabRides,0,2019,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
53,12,use Weather select top 1000 * from weather where location='Fenway',Python,temp,9372,58,53:41.8,16,53,0,2013573,53:43.9,8,Weather,2,2020,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
54,12,use Telecom select top 1000 * from telecom_users where InternetService='DSL',Python,temp,9372,58,53:43.9,16,29,0,2014110,53:45.9,7,Telecom,2,2021,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
55,12,delete top (1) from Students.dbo.StudentsPerformance where gender='male',Python,temp,9372,58,53:45.9,0,8,0,548,53:45.9,7,Telecom,0,2022,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
56,12,"insert into Telecom.dbo.telecom_users values (6780, '7010-BRBUU', 'Male', 0, 'Yes', 'No', 75, 'Yes', 'No', 'DSL', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'Two Year', 'Yes', 'Credit card', 24.2, 3370.2, 'No')",Python,temp,9372,58,53:47.9,0,64,0,2021,53:47.9,7,Telecom,0,2023,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
57,12,"insert into Weather.dbo.weather values (42.45, 'Fenway', 1, 1012.17, 0.1089, default, 0.96, 1.53)",Python,temp,9372,58,53:49.9,0,21,1,2888,53:49.9,7,Telecom,0,2024,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
58,12,use Weather select top 1000 * from weather where location='Fenway',Python,temp,9372,58,53:51.9,0,53,0,2004565,53:53.9,8,Weather,2,2025,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
59,12,use Weather select top 1000 * from weather where location='Fenway',Python,temp,9372,58,53:53.9,0,53,0,2010483,53:55.9,8,Weather,2,2026,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
60,12,"insert into Telecom.dbo.telecom_users values (6780, '7010-BRBUU', 'Male', 0, 'Yes', 'No', 75, 'Yes', 'No', 'DSL', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'Two Year', 'Yes', 'Credit card', 24.2, 3370.2, 'No')",Python,temp,9372,58,53:55.9,0,63,0,1467,53:55.9,8,Weather,0,2027,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
61,12,use Students select top 1000 * from StudentsPerformance where gender='male',Python,temp,9372,58,53:57.9,15,27,0,2011044,53:59.9,6,Students,2,2028,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
62,12,delete top (1) from Weather.dbo.weather where location='Fenway',Python,temp,9372,58,54:00.0,0,23,0,1660,54:00.0,6,Students,0,2029,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
63,12,"insert into Weather.dbo.weather values (42.45, 'Fenway', 1, 1012.17, 0.1089, default, 0.96, 1.53)",Python,temp,9372,58,54:02.0,0,19,0,796,54:02.0,6,Students,0,2030,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
64,12,delete top (1) from Students.dbo.StudentsPerformance where gender='male',Python,temp,9372,58,54:04.0,0,26,0,814,54:04.0,6,Students,0,2031,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
65,12,use Weather select top 1000 * from weather where location='Fenway',Python,temp,9372,58,54:06.0,0,53,0,2006152,54:08.0,8,Weather,2,2032,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
66,12,delete top (1) from CabRides.dbo.cab_rides where name='Lyft',Python,temp,9372,58,54:08.0,0,86,0,1905,54:08.0,8,Weather,0,2033,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
67,12,select * from Telecom.dbo.telecom_users,Python,temp,9372,58,54:10.0,0,20,0,2008768,54:12.0,8,Weather,2,2034,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
68,12,use Weather select top 1000 * from weather where location='Fenway',Python,temp,9372,58,54:12.0,0,53,0,2015076,54:14.0,8,Weather,2,2035,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
69,12,"insert into Students.dbo.StudentsPerformance values ('female', 'group B', 'bachelors degree', 'standard', 'completed', 72, 80, 94)",Python,temp,9372,58,54:14.0,0,35,0,936,54:14.0,8,Weather,0,2036,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
70,12,select * from Weather.dbo.weather,Python,temp,9372,58,54:16.0,0,20,0,2008352,54:18.0,8,Weather,2,2037,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
71,12,delete top (1) from Telecom.dbo.telecom_users where InternetService='DSL',Python,temp,9372,58,54:18.0,0,23,0,2380,54:18.0,8,Weather,0,2038,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
72,12,"insert into Weather.dbo.weather values (42.45, 'Fenway', 1, 1012.17, 0.1089, default, 0.96, 1.53)",Python,temp,9372,58,54:20.1,0,19,0,756,54:20.1,8,Weather,0,2039,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
73,12,delete top (1) from CabRides.dbo.cab_rides where name='Lyft',Python,temp,9372,58,54:22.1,0,86,0,26574,54:22.1,8,Weather,0,2040,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,1,DESKTOP-7OQL1C2,temp,135672,2.49E+11
74,12,use Telecom select top 1000 * from telecom_users where InternetService='DSL',Python,temp,9372,58,54:24.1,0,29,0,2010455,54:26.1,7,Telecom,2,2041,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
75,12,use Students select top 1000 * from StudentsPerformance where gender='male',Python,temp,9372,58,54:26.1,0,27,0,2005550,54:28.1,6,Students,2,2042,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
76,12,select * from Telecom.dbo.telecom_users,Python,temp,9372,58,54:28.1,0,20,0,2000771,54:30.1,6,Students,2,2043,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
77,12,use CabRides select top 1000 * from cab_rides where name='Lyft',Python,temp,9372,58,54:30.1,0,107,0,2009927,54:32.1,5,CabRides,2,2044,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
78,12,use Telecom select top 1000 * from telecom_users where InternetService='DSL',Python,temp,9372,58,54:32.1,0,29,0,2012154,54:34.1,7,Telecom,2,2045,2,DESKTOP-7OQL1C2,0xDF5541092BCB7B41BE3A65E9E22A6817,0,0,DESKTOP-7OQL1C2,temp,135672,2.49E+11
79,12,"insert into Weather.dbo.weather values (42.45, 'Fenway', 1, 1012.17, 0.1089, default, 0.96, 1.53)",Python,temp2,9372,64,54:34.2,0,19,1,704,54:34.2,1,master,0,2046,2,DESKTOP-7OQL1C2,0x844AA658072DDF4FBCE5322F0FEFC6FF,0,1,DESKTOP-7OQL1C2,temp2,NULL,0
80,12,use Weather select top 1000 * from weather where location='Fenway',Python,temp2,9372,64,54:36.2,0,53,0,2010275,54:38.2,8,Weather,2,2047,2,DESKTOP-7OQL1C2,0x844AA658072DDF4FBCE5322F0FEFC6FF,0,0,DESKTOP-7OQL1C2,temp2,136898,2.75E+11
81,12,"insert into Telecom.dbo.telecom_users values (6780, '7010-BRBUU', 'Male', 0, 'Yes', 'No', 75, 'Yes', 'No', 'DSL', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'Two Year', 'Yes', 'Credit card', 24.2, 3370.2, 'No')",Python,temp2,9372,64,54:38.2,0,64,0,1812,54:38.2,8,Weather,0,2048,2,DESKTOP-7OQL1C2,0x844AA658072DDF4FBCE5322F0FEFC6FF,0,1,DESKTOP-7OQL1C2,temp2,136898,2.75E+11
82,12,"insert into Telecom.dbo.telecom_users values (6780, '7010-BRBUU', 'Male', 0, 'Yes', 'No', 75, 'Yes', 'No', 'DSL', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'Two Year', 'Yes', 'Credit card', 24.2, 3370.2, 'No')",Python,temp2,9372,64,54:40.2,0,1,0,1465,54:40.2,8,Weather,0,2049,2,DESKTOP-7OQL1C2,0x844AA658072DDF4FBCE5322F0FEFC6FF,0,1,DESKTOP-7OQL1C2,temp2,136898,2.75E+11
